amount,is_new_recipient,country,device_type,device_trust_score,transaction_hour,prior_transaction_count,is_fraud
797.19,0,SA,mobile,86.5,20,149,0
1282.13,1,SA,mobile,64.0,16,38,0
1901.59,0,SA,atm,65.3,20,117,0
3540.9,0,SA,mobile,91.5,6,14,0
1004.83,0,SA,mobile,92.9,9,11,0
177.79,0,SA,web,92.9,15,112,0
377.14,0,IN,mobile,67.0,12,125,0
1121.7,0,SA,atm,68.1,16,13,0
1299.28,1,SA,atm,32.0,23,0,1
1573.28,0,AE,atm,70.7,9,98,0
83.94,0,SA,mobile,80.3,14,86,0
122.48,0,SA,web,89.3,8,13,0
1196.15,0,SA,mobile,76.5,21,139,0
871.51,0,SA,atm,80.1,15,69,0
1663.65,0,SA,atm,93.4,12,64,0
316.53,0,SA,web,77.4,12,34,0
5092.41,0,NG,atm,8.6,5,4,1
1265.81,0,SA,web,74.2,15,68,0
176.53,0,SA,mobile,61.9,10,176,0
264.6,0,PK,web,64.7,11,51,0
406.23,0,AE,mobile,91.3,17,91,0
394.01,0,SA,web,69.0,10,27,0
910.48,0,IN,atm,79.3,9,178,0
982.31,0,SA,atm,99.6,7,174,0
1485.63,0,EG,web,82.5,9,51,0
914.37,0,SA,atm,77.1,14,28,0
203.51,0,SA,atm,70.9,15,175,0
718.29,0,UK,mobile,99.0,11,17,0
537.33,0,US,mobile,91.4,10,83,0
2630.27,0,SA,mobile,77.0,10,137,0
283.81,0,SA,web,72.9,10,72,0
229.04,0,IN,web,75.9,18,190,0
445.78,0,SA,atm,70.3,11,105,0
368.82,0,SA,web,68.8,9,71,0
440.94,0,SA,atm,79.4,20,108,0
1380.91,0,IN,mobile,88.8,12,180,0
240.42,0,IN,atm,74.2,15,69,0
231.04,0,SA,mobile,66.9,12,85,0
1497.77,1,SA,web,91.6,14,84,0
426.7,0,SA,atm,91.2,15,133,0
774.97,0,SA,atm,89.6,9,187,0
1449.9,0,SA,atm,81.0,18,172,0
157.48,0,SA,mobile,94.7,8,6,0
1574.67,0,AE,atm,91.1,16,96,0
687.52,0,SA,web,71.6,17,75,0
1890.0,1,SA,atm,35.8,0,8,1
344.92,0,SA,web,86.7,15,152,0
795.6,1,SA,mobile,94.7,17,15,0
726.12,0,SA,atm,78.2,6,187,0
897.27,0,SA,mobile,75.3,7,163,0
435.66,1,SA,mobile,92.8,18,92,0
391.15,0,SA,web,93.2,6,67,0
317.09,0,PK,atm,60.4,8,103,0
539.19,0,SA,mobile,70.4,6,7,0
1865.76,0,SA,atm,88.7,8,101,0
1147.82,1,SA,web,78.1,18,180,0
706.14,0,SA,mobile,78.0,12,62,0
226.76,0,SA,web,84.1,15,172,0
760.0,0,SA,atm,64.2,18,89,0
1112.49,0,SA,atm,97.2,7,17,0
1562.4,0,EG,web,94.6,14,157,0
930.77,0,UK,mobile,89.4,20,129,0
1002.09,0,SA,mobile,66.7,8,79,0
1838.76,0,SA,web,77.4,19,56,0
27.24,0,NG,web,63.6,19,110,0
785.07,0,AE,mobile,76.1,11,17,0
3538.85,0,UK,atm,95.4,14,189,0
979.21,0,AE,mobile,80.7,12,16,0
3964.59,0,SA,mobile,63.3,8,147,0
491.43,0,PK,mobile,91.4,13,139,0
901.32,0,SA,atm,95.2,21,115,0
672.81,0,SA,web,77.6,12,5,0
182.15,1,SA,mobile,65.5,17,73,0
1267.24,0,SA,mobile,99.3,14,196,0
379.68,1,SA,mobile,92.0,7,150,0
731.44,0,AE,atm,90.9,11,172,0
1966.7,0,SA,web,96.8,13,119,0
1274.8,0,PK,mobile,60.5,18,89,0
1988.28,1,SA,web,66.3,20,177,0
2256.18,0,SA,mobile,97.6,7,153,0
105.77,0,SA,mobile,71.5,6,27,0
296.75,1,SA,mobile,83.1,7,17,0
161.15,0,SA,mobile,83.7,7,144,0
1194.89,0,SA,atm,89.2,18,31,0
1650.43,0,SA,mobile,89.6,11,55,0
79.54,0,SA,web,99.8,11,164,0
1063.46,0,SA,web,69.6,10,62,0
2298.06,0,IN,web,89.5,17,72,0
1487.44,0,SA,mobile,74.4,16,37,0
1121.22,1,SA,mobile,99.0,16,165,0
3402.04,0,AE,web,93.0,12,107,0
169.62,0,SA,web,74.0,14,191,0
562.23,0,SA,web,85.9,17,132,0
447.77,1,SA,mobile,74.6,17,74,0
1560.76,0,SA,mobile,78.3,6,148,0
210.41,1,SA,atm,91.3,14,123,0
113.56,0,SA,mobile,67.3,13,61,0
1237.6,0,PK,mobile,90.7,7,95,0
859.47,0,IN,mobile,62.6,15,38,0
738.78,0,SA,atm,66.9,17,48,0
842.79,1,SA,atm,71.9,20,96,0
1098.16,0,AE,web,89.4,14,99,0
472.66,0,PK,web,75.3,18,95,0
894.06,0,SA,web,74.7,6,167,0
449.36,0,SA,mobile,85.0,18,74,0
294.75,0,SA,web,71.4,13,138,0
140.14,0,SA,mobile,69.5,19,105,0
547.46,0,SA,web,81.1,9,96,0
906.04,1,SA,web,87.2,12,160,0
843.23,0,SA,atm,92.7,12,48,0
142.36,0,PK,atm,74.6,17,104,0
567.05,0,IN,web,79.1,12,61,0
224.19,0,SA,mobile,69.9,17,38,0
3129.91,1,NG,mobile,43.2,23,2,1
579.08,1,UK,mobile,78.6,14,140,0
838.8,0,SA,atm,92.1,8,145,0
1093.14,1,AE,atm,73.3,16,39,0
1630.85,0,SA,mobile,95.1,10,78,0
744.56,0,SA,web,72.1,18,70,0
2064.55,0,SA,mobile,97.0,10,149,0
829.44,1,SA,mobile,74.8,13,40,0
828.59,0,PK,mobile,86.4,14,158,0
848.59,0,SA,web,79.3,16,55,0
2154.92,1,SA,mobile,60.3,13,172,0
1452.97,1,NG,web,85.4,7,41,0
546.83,0,PK,atm,82.0,12,139,0
2082.37,0,SA,web,95.6,19,17,0
536.08,0,SA,atm,85.9,9,28,0
586.38,0,SA,mobile,86.0,19,181,0
1005.46,0,UK,web,92.9,15,80,0
282.09,0,IN,atm,98.9,16,130,0
1014.46,0,UK,web,98.0,10,125,0
815.88,0,SA,web,70.9,9,126,0
991.95,0,SA,mobile,98.2,14,95,0
1082.43,0,PK,mobile,74.7,17,178,0
655.87,0,SA,mobile,96.0,17,130,0
1832.32,0,PK,web,89.4,18,138,0
595.17,0,AE,atm,64.2,8,84,0
820.44,0,SA,web,62.4,18,179,0
2065.01,0,SA,atm,82.0,8,43,0
341.32,0,AE,mobile,84.4,16,195,0
807.45,0,AE,web,92.9,21,78,0
1247.11,0,SA,web,87.9,20,43,0
355.33,0,AE,mobile,90.9,7,82,0
186.66,0,SA,atm,80.5,9,133,0
273.11,0,PK,mobile,77.0,19,113,0
272.52,0,AE,atm,72.2,19,196,0
6491.27,0,SA,web,66.8,13,17,0
658.86,1,SA,mobile,72.0,12,191,0
1453.77,1,IN,mobile,72.4,9,191,0
1527.73,0,SA,mobile,61.8,10,153,0
308.61,1,SA,atm,85.0,21,48,0
230.81,1,IN,mobile,79.9,13,33,0
1097.82,0,SA,mobile,66.9,15,33,0
1512.79,0,AE,web,71.7,10,152,0
824.73,0,AE,web,61.4,7,150,0
378.53,0,SA,atm,90.5,7,193,0
506.89,0,SA,web,63.6,19,179,0
1596.11,0,SA,mobile,76.5,10,161,0
272.06,0,SA,atm,68.9,21,78,0
549.92,0,SA,web,71.3,14,26,0
108.12,0,SA,mobile,98.7,20,38,0
1095.42,0,SA,atm,94.6,14,22,0
1154.95,0,SA,atm,61.8,8,71,0
799.63,0,SA,web,98.5,19,43,0
225.94,0,SA,mobile,67.0,14,156,0
1175.66,0,SA,web,88.3,13,128,0
298.25,0,SA,atm,74.2,12,6,0
190.45,0,SA,atm,75.7,9,132,0
465.43,0,SA,mobile,97.6,17,160,0
2194.08,1,SA,mobile,69.9,14,172,0
774.8,1,SA,mobile,83.4,14,32,0
608.04,0,SA,mobile,99.7,20,192,0
445.11,0,EG,web,95.0,15,154,0
2724.24,0,SA,atm,81.7,16,101,0
399.02,0,SA,atm,85.7,11,58,0
519.25,0,SA,web,82.0,12,16,0
13297.82,0,IN,mobile,20.4,22,9,1
1570.26,0,SA,mobile,86.4,21,32,0
2423.54,0,SA,atm,94.2,16,138,0
547.16,0,SA,mobile,65.4,21,105,0
987.79,1,SA,mobile,87.9,7,183,0
15802.66,1,SA,mobile,61.8,21,82,0
957.65,1,PK,mobile,73.6,15,115,0
1293.45,0,SA,web,91.7,18,196,0
193.51,0,SA,atm,82.3,10,88,0
1383.53,0,NG,atm,61.6,9,147,0
2762.16,0,SA,mobile,69.3,6,46,0
1347.9,0,SA,web,62.1,15,122,0
345.19,0,SA,mobile,92.1,12,76,0
431.05,0,SA,atm,87.9,11,94,0
1255.44,0,SA,web,69.0,17,85,0
991.65,0,PK,web,76.3,17,134,0
495.41,0,SA,atm,88.3,16,67,0
288.55,0,SA,web,65.8,14,84,0
1681.47,0,PK,mobile,82.7,6,85,0
539.67,0,SA,mobile,79.4,8,40,0
498.16,0,SA,mobile,87.0,18,174,0
926.1,0,IN,mobile,72.7,14,187,0
335.51,0,SA,web,60.1,19,30,0
1214.66,0,UK,atm,61.6,9,174,0
874.1,0,SA,atm,97.6,14,68,0
578.68,0,SA,web,93.4,17,96,0
154.49,0,SA,atm,91.4,13,25,0
814.3,1,IN,web,75.4,11,24,0
872.33,1,SA,mobile,86.3,9,177,0
700.28,0,SA,web,83.8,16,138,0
1955.54,0,IN,atm,94.2,15,64,0
148.06,0,UK,web,81.4,11,180,0
6606.74,0,SA,web,78.6,20,8,0
