message,label
"Urgent Alinma notice: suspicious transfer of SAR 500 detected, cancel here: bit.ly/verify-acc",phishing
"SAR 25,000 was successfully transferred from your الإنماء account. Ref 3546.",safe
رمز التحقق الخاص بك من بنك الإنماء هو 3880. لا تشاركه مع أحد.,safe
Reminder: your الإنماء credit card payment is due in 2 days.,safe
"Thank you for banking with الإنماء. Check your balance in the official app, request 6873.",safe
"رسالة عاجلة من Alinma: يوجد تحويل مشبوه بقيمة 25,000 ريال، أوقفه الآن من هنا: secure-alinma.info",phishing
"Urgent الإنماء notice: suspicious transfer of SAR 1,200 detected, cancel here: alinma-update.top",phishing
"Urgent الإنماء notice: suspicious transfer of SAR 25,000 detected, cancel here: alinma-secure.xyz",phishing
مبروك! ربحت 500 ريال من بنك Alinma. اضغط هنا للمطالبة: alinma-secure.xyz,phishing
"رسالة عاجلة من Alinma: يوجد تحويل مشبوه بقيمة 5,000 ريال، أوقفه الآن من هنا: secure-alinma.info",phishing
رسالة عاجلة من Alinma: يوجد تحويل مشبوه بقيمة 500 ريال، أوقفه الآن من هنا: alinma-update.top,phishing
"Congratulations! You won SAR 1,200 from Alinma. Claim here: bit.ly/verify-acc",phishing
Reminder: your Alinma credit card payment is due in 5 days.,safe
Unusual activity detected on your Alinma account. Update your info now: secure-alinma.info,phishing
SAR 500 was successfully transferred from your Alinma account. Ref 9680.,safe
"Thank you for banking with الإنماء. Check your balance in the official app, request 1930.",safe
تنبيه: تم رصد نشاط غير معتاد على حسابك في بنك Alinma. حدّث بياناتك الآن: secure-alinma.info,phishing
شكرًا لتعاملكم مع الإنماء. رصيدكم الحالي متاح عبر التطبيق الرسمي، رقم الطلب 1110.,safe
"تم تحويل 10,000 ريال من حسابك بنجاح في Alinma. الرقم المرجعي 8575.",safe
تذكير: موعد سداد بطاقتك الائتمانية لدى Alinma خلال 2 أيام.,safe
تم تحويل 500 ريال من حسابك بنجاح في Alinma. الرقم المرجعي 2011.,safe
تذكير: موعد سداد بطاقتك الائتمانية لدى الإنماء خلال 3 أيام.,safe
"SAR 25,000 was successfully transferred from your الإنماء account. Ref 7471.",safe
"تم تحويل 10,000 ريال من حسابك بنجاح في Alinma. الرقم المرجعي 8692.",safe
"رسالة عاجلة من الإنماء: يوجد تحويل مشبوه بقيمة 25,000 ريال، أوقفه الآن من هنا: bit.ly/verify-acc",phishing
"SAR 25,000 was successfully transferred from your الإنماء account. Ref 7266.",safe
"رسالة عاجلة من الإنماء: يوجد تحويل مشبوه بقيمة 1,200 ريال، أوقفه الآن من هنا: secure-alinma.info",phishing
Your Alinma OTP is 8717. Do not share it with anyone.,safe
شكرًا لتعاملكم مع الإنماء. رصيدكم الحالي متاح عبر التطبيق الرسمي، رقم الطلب 6422.,safe
"Dear Alinma customer, your account will be suspended today. Verify immediately: secure-alinma.info",phishing
"Thank you for banking with Alinma. Check your balance in the official app, request 5890.",safe
"Congratulations! You won SAR 25,000 from الإنماء. Claim here: bit.ly/verify-acc",phishing
"تم تحويل 25,000 ريال من حسابك بنجاح في Alinma. الرقم المرجعي 4943.",safe
تم تحويل 500 ريال من حسابك بنجاح في Alinma. الرقم المرجعي 9008.,safe
"SAR 25,000 was successfully transferred from your الإنماء account. Ref 9064.",safe
رمز التحقق الخاص بك من بنك Alinma هو 5947. لا تشاركه مع أحد.,safe
"تم تحويل 5,000 ريال من حسابك بنجاح في الإنماء. الرقم المرجعي 8586.",safe
"مبروك! ربحت 1,200 ريال من بنك Alinma. اضغط هنا للمطالبة: secure-alinma.info",phishing
رمز التحقق الخاص بك من بنك Alinma هو 3249. لا تشاركه مع أحد.,safe
شكرًا لتعاملكم مع Alinma. رصيدكم الحالي متاح عبر التطبيق الرسمي، رقم الطلب 2615.,safe
"رسالة عاجلة من Alinma: يوجد تحويل مشبوه بقيمة 1,200 ريال، أوقفه الآن من هنا: bit.ly/verify-acc",phishing
"Dear الإنماء customer, your account will be suspended today. Verify immediately: bit.ly/verify-acc",phishing
